1.0	I LOVE @Health4UandPets u guys r the best!! 
1.0	im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!
1.0	@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. 
1.0	Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup
1.0	@LovesBrooklyn2 he has that effect on everyone 
1.0	@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!
1.0	@r_keith_hill Thans for your response. Ihad already find this answer 
1.0	@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! 
1.0	@tommcfly ah, congrats mr fletcher for finally joining twitter 
1.0	@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors 
1.0	crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! 
1.0	@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! 
1.0	@nileyjileyluver Haha, don't worry! You'll get the hang of it! 
1.0	@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting 
1.0	@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?
1.0	Just added tweetie to my new iPhone 
1.0	@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! )
1.0	@nicolerichie: your picture is very sweet 
1.0	Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw 
1.0	Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! 
1.0	Didn't place in the Peeps contest but thanks for voting anyways. 
1.0	Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0
1.0	@LittleLumen walking over to put the deposit down tomorrow 
1.0	is now followinq @DAChesterFrench , you shud do tha same 
1.0	@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? 
1.0	Aw i'm holding my new puppy. Well He's not mine but He's a cutie. 
1.0	@iJohn kitteh is sleepin on my crotch which proves she likes me more 
1.0	@DramaBeats agreed 
1.0	reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ
1.0	@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star 
1.0	happy to spend time with the family. 
1.0	finally going to bed!  so tired. Was gonna watch The Hills but didnt =/
1.0	so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! 
1.0	@deon upload di indowebster dong banggggg 
1.0	@wisdomous you're welcome. glad you enjoyed it. 
1.0	@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?
1.0	@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up 
1.0	YAY! found a new cuddle buddy 
1.0	I think I met my first &quot;snob&quot; on twitter tonight. Too bad. Life goes on! 
1.0	Across the Universe. Sleep. Rehearsal tomorrow. 
1.0	@annabellee dry sweet potato, huh? 
1.0	@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!
1.0	having a long conversation with mom on phone 
1.0	@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? 
1.0	Practicing lines/mannerisms/voices for upcoming feature shoot.  Probably driving Brock crazy.  
1.0	Going to go and read new moon for the 3rd time  I cant get enough of twilight series 
